,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Rape+Kidnap,Urban,Population,crimes/population
2673,RAJASTHAN,BARAN,2004,0.0004098360655737705,0.0005163934426229509,113,0,122000,0.0009262295081967213
8773,RAJASTHAN,CHITTORGARH,2012,0.00038311688311688314,0.000525974025974026,140,0,154000,0.0009090909090909091
7185,RAJASTHAN,CHITTORGARH,2010,0.00027272727272727274,0.0006233766233766234,138,0,154000,0.0008961038961038961
5638,RAJASTHAN,BARAN,2008,0.00042622950819672133,0.00036885245901639344,97,0,122000,0.0007950819672131147
6535,UTTAR PRADESH,KHIRI,2009,0.00024342105263157896,0.0005460526315789473,120,0,152000,0.0007894736842105263
5012,UTTAR PRADESH,KHIRI,2007,0.0003092105263157895,0.00047368421052631577,119,0,152000,0.0007828947368421053
5644,RAJASTHAN,CHITTORGARH,2008,0.00025974025974025974,0.0005194805194805195,120,0,154000,0.0007792207792207792
6409,RAJASTHAN,CHITTORGARH,2009,0.00028571428571428574,0.00045454545454545455,114,0,154000,0.0007402597402597403
502,RAJASTHAN,BHILWARA,2001,0.00011351351351351351,0.0006027027027027027,265,0,370000,0.0007162162162162163
2796,UTTAR PRADESH,KHIRI,2004,0.00028289473684210524,0.0004210526315789474,107,0,152000,0.0007039473684210526
7313,UTTAR PRADESH,KHIRI,2010,0.00017105263157894736,0.0005263157894736842,106,0,152000,0.0006973684210526315
8805,RAJASTHAN,UDAIPUR,2012,0.00033037694013303767,0.0003614190687361419,312,0,451000,0.0006917960088691796
3407,RAJASTHAN,BARAN,2005,0.00036885245901639344,0.00031967213114754097,84,0,122000,0.0006885245901639345
3529,UTTAR PRADESH,KHIRI,2005,0.0002960526315789474,0.00038157894736842105,103,0,152000,0.0006776315789473684
4269,UTTAR PRADESH,KHIRI,2006,0.00025657894736842105,0.00039473684210526315,99,0,152000,0.0006513157894736842
7796,MADHYA PRADESH,SAGAR,2011,0.00035405405405405406,0.00028108108108108106,235,0,370000,0.0006351351351351352
4142,RAJASTHAN,BARAN,2006,0.0003032786885245902,0.0003278688524590164,77,0,122000,0.0006311475409836065
8003,RAJASTHAN,UDAIPUR,2011,0.00024390243902439024,0.00035920177383592017,272,0,451000,0.0006031042128603105
1338,UTTAR PRADESH,KHIRI,2002,0.00026973684210526315,0.0003289473684210526,91,0,152000,0.0005986842105263158
6438,RAJASTHAN,UDAIPUR,2009,0.00024168514412416852,0.0003458980044345898,265,0,451000,0.0005875831485587583
4885,RAJASTHAN,BARAN,2007,0.0003524590163934426,0.00022950819672131148,71,0,122000,0.0005819672131147541
7215,RAJASTHAN,UDAIPUR,2010,0.000246119733924612,0.0003348115299334812,262,0,451000,0.0005809312638580932
1219,RAJASTHAN,BHILWARA,2002,0.00012432432432432433,0.00044324324324324327,210,0,370000,0.0005675675675675675
5673,RAJASTHAN,UDAIPUR,2008,0.00020177383592017738,0.000328159645232816,239,0,451000,0.0005299334811529933
8597,MADHYA PRADESH,SAGAR,2012,0.00033783783783783786,0.00016486486486486486,186,0,370000,0.0005027027027027027
7011,MADHYA PRADESH,SAGAR,2010,0.0003243243243243243,0.00017027027027027028,183,0,370000,0.0004945945945945946
7182,RAJASTHAN,BHILWARA,2010,0.00012972972972972972,0.00035135135135135135,178,0,370000,0.0004810810810810811
6236,MADHYA PRADESH,SAGAR,2009,0.0003432432432432432,0.00010810810810810811,167,0,370000,0.00045135135135135134
4919,RAJASTHAN,UDAIPUR,2007,0.00020842572062084258,0.0002394678492239468,202,0,451000,0.00044789356984478935
2067,UTTAR PRADESH,KHIRI,2003,0.00018421052631578948,0.0002631578947368421,68,0,152000,0.0004473684210526316
2512,MADHYA PRADESH,SAGAR,2004,0.0003810810810810811,6.216216216216216e-05,164,0,370000,0.00044324324324324327
2676,RAJASTHAN,BHILWARA,2004,0.00011891891891891892,0.00031891891891891894,162,0,370000,0.00043783783783783785
1055,MADHYA PRADESH,SAGAR,2002,0.00036756756756756756,6.486486486486486e-05,160,0,370000,0.00043243243243243243
338,MADHYA PRADESH,SAGAR,2001,0.0003810810810810811,4.324324324324324e-05,157,0,370000,0.0004243243243243243
1948,RAJASTHAN,BHILWARA,2003,0.00011351351351351351,0.0003027027027027027,154,0,370000,0.0004162162162162162
1784,MADHYA PRADESH,SAGAR,2003,0.000327027027027027,7.567567567567567e-05,149,0,370000,0.00040270270270270273
5471,MADHYA PRADESH,SAGAR,2008,0.0003216216216216216,7.567567567567567e-05,147,0,370000,0.0003972972972972973
3980,MADHYA PRADESH,SAGAR,2006,0.0003135135135135135,8.108108108108108e-05,146,0,370000,0.0003945945945945946
4722,MADHYA PRADESH,SAGAR,2007,0.0003108108108108108,8.108108108108108e-05,145,0,370000,0.0003918918918918919
2702,RAJASTHAN,UDAIPUR,2004,0.00012638580931263857,0.0002549889135254989,172,0,451000,0.00038137472283813746
4176,RAJASTHAN,UDAIPUR,2006,0.000164079822616408,0.0002172949002217295,172,0,451000,0.00038137472283813746
3410,RAJASTHAN,BHILWARA,2005,0.00010540540540540541,0.0002756756756756757,141,0,370000,0.0003810810810810811
8057,UTTAR PRADESH,ALIGARH,2011,7.551487414187643e-05,0.00030320366132723114,331,0,874000,0.00037871853546910753
6406,RAJASTHAN,BHILWARA,2009,0.00014054054054054053,0.00023513513513513513,139,0,370000,0.0003756756756756757
8863,UTTAR PRADESH,ALIGARH,2012,7.322654462242563e-05,0.0003009153318077803,327,0,874000,0.00037414187643020595
528,RAJASTHAN,UDAIPUR,2001,9.534368070953437e-05,0.0002616407982261641,161,0,451000,0.00035698447893569847
3246,MADHYA PRADESH,SAGAR,2005,0.0002972972972972973,5.6756756756756757e-05,131,0,370000,0.00035405405405405406
8770,RAJASTHAN,BHILWARA,2012,0.00015945945945945947,0.0001891891891891892,129,0,370000,0.00034864864864864864
7270,UTTAR PRADESH,ALIGARH,2010,7.208237986270023e-05,0.0002711670480549199,300,0,874000,0.00034324942791762013
